"COMPANY","BUSINESSUNIT","ASSET","ASSETNAME","EQUIPMENTTYPE","PARENTASSET","COMPANYLEVEL"
"ORANGE","CAT-GARCI","600002350","AUTOMATA CONTROL GE_3","SD","400000503",7
"ORANGE","AND-MATEO","600003417","CCONM_1B RED/GRUPO","CDRCBT","600003335",7
"ORANGE","CAT-GARCI","600002702","SalaReu_Asunción_P-1","SLREUN","CAT-GARCI-REH",6
"ORANGE","CAT-GARCI","600002703","SalaReu_Recife_P-1","SLREUN","CAT-GARCI-REH",6
"ORANGE","CAT-GARCI","600002706","SalaReu_Río Grande_P-1","SD","CAT-GARCI-REH",6
"ORANGE","CAT-GARCI","600002707","SalaReu_San Salvador_P-1","SD","CAT-GARCI-REH",6
"ORANGE","CAT-GARCI","600002708","SalaReu_Cienfuegos_P01","SD","CAT-GARCI-REH",6
"ORANGE","CAT-GARCI","600002712","SalaReu_Lima_P03","SLREUN","CAT-GARCI-REH",6
"ORANGE","CAT-GARCI","600002713","SalaReu_Rosario_P03","SLREUN","CAT-GARCI-REH",6
"ORANGE","CAT-GARCI","400000413","CBT_06_S-3_SALA CPD_ A/A","CDRCBT","600003391",7
"ORANGE","CAT-GARCI","400000379","CBT_05_S-3_SALA CPD_FUERZA","CDRCBT","400000371",7
"ORANGE","CAT-GARCI","400000400","CBT_18_P1_SALA CUADROS_FUERZA","CDRCBT","400000371",7
"ORANGE","CAT-GARCI","400000407","CBT_24_P3_SALA CUADROS_FUERZA","CDRCBT","400000371",7
"ORANGE","CAT-GARCI","400000375","CBT_10_S-2_SALA CUADROS_FUERZA","CDRCBT","400000371",7
"ORANGE","CAT-GARCI","400000386","CBT_08 _S-2_SALA CUADROS_FUERZA","CDRCBT","400000371",7
"ORANGE","CAT-GARCI","400000393","CBT_30 CUADRO CFST","CDRCBT","400000371",7
"ORANGE","CAT-GARCI","400000429","CSAI_BAT_03 C SECCIN BATERIAS SAI3","CDRCBT","600002831",7
"ORANGE","MUR-NICAR","600002767","SalaReu_Georgetown_P00","SLREUN","MUR-NICAR-REH",6
"ORANGE","MUR-NICAR","600002768","SalaReu_Sintra_P00","SLREUN","MUR-NICAR-REH",6
"ORANGE","MAD-ULISE","400009099","RECUP. ENTALPICO ROTATIVO 1 P1","CLCREC","MAD-ULISE-CLC",6
"ORANGE","CAT-GARCI","400000430","CSAI_BAT_01 C SECCIN BATERIAS SAI1","CDRCBT","CAT-GARCI-SAI",6
"ORANGE","CAT-GARCI","600003446","CL_10_S-2_UN INT_SALA SAI ","CLPCIP","CAT-GARCI-CLT",6
"ORANGE","CAT-GARCI","600003431","CONMUTACIÓN AUTO RED/GE","ATCCON","600003392",7
"ORANGE","CAT-GARCI","600003447","CL_10_UN EXT_SALA SAI ","CLPCPA","600003446",7
"ORANGE","CAT-GARCI","600002714","SalaReu_Mar de Plata_P03","SLREUN","CAT-GARCI-REH",6
"ORANGE","CAL-FORJA","600002745","SalaReu_Galápagos_P02","SLREUN","CAL-FORJA-REH",6
"ORANGE","AND-MATEO","503087650","CL_6-B_UN EXT_PB_MSC_UNIFLAIR","CLPCPA","400012793",7
"ORANGE","MUR-NICAR","600002965","CCONM_01_RED/GE","CDRCBT","MUR-NICAR-ALI",6
"ORANGE","MUR-NICAR","600002966","CONTADOR ELECTRICO AT","MDDCAT","MUR-NICAR-ATE",6
"ORANGE","MUR-NICAR","600002967","CBT_05_P0_CLT CLC Y VENTILACIÓN","CDRCBT","400008649",7
"ORANGE","MUR-NICAR","600002968","ENFRIADORA_02","ENTAWC","MUR-NICAR-CLT",6
"ORANGE","MUR-NICAR","600002969","HUMIDIFICADOR_01_SALA CX ","CLTHUM","MUR-NICAR-CLT",6
"ORANGE","MUR-NICAR","600002970","HUMIDIFICADOR_02_SALA CX ","CLTHUM","MUR-NICAR-CLT",6
"ORANGE","MUR-NICAR","600002971","HUMIDIFICADOR_03_SALA TX","CLTHUM","MUR-NICAR-CLT",6
"ORANGE","MUR-NICAR","600002972","GRUPO ELECTROGENO_1 (410 KVA)","GRPGRP","MUR-NICAR-GEL",6
"ORANGE","MUR-NICAR","600002973","ACOMETIDA","LREACO","MUR-NICAR-ALI",6
"ORANGE","MUR-NICAR","600002974","DECARGADOR DE SOBRETENSIÓN","SD","MUR-NICAR-ALI",6
"ORANGE","CAL-FORJA","600003362","CAJA VENTILACIÓN","CLTCVS","CAL-FORJA-CLT",6
"ORANGE","MAD-ULISE","502116328B","CBT_03_P0_S. BAT 1_CLIMA","CDRCBT","400009251",8
"ORANGE","CAT-GARCI","400000441","BATERIA CONDENSADORES CLT/CLC","EQPCON","CAT-GARCI-ALI",6
"ORANGE","CAL-FORJA","400001659","BAT SAI_01 SALA BATERÍAS","SAIBAT","400001657",7
"ORANGE","CAL-FORJA","500004959","BAT SAI_OFICINA_01_SALA BAT","SAIBAT","500004957",7
"ORANGE","MAD-ULISE","502116328","CBT_03_P0_S. BAT 1_CLIMA","CDRCBT","600003268",7
"ORANGE","CAT-GARCI","400000413B","CBT_06 CUADRO CAACPD","CDRCBT","400000373",8
"ORANGE","CAT-GARCI","400000415B","CBT_19 CUADRO CAS3","CDRCBT","400000373",8
"ORANGE","CAT-GARCI","400000400B","CBT_23 CUADRO CFP1","CDRCBT","400000373",8
"ORANGE","CAT-GARCI","400000379B","CBT_22 CUADRO CFMSC","CDRCBT","400000373",8
"ORANGE","CAT-GARCI","400000404B","CBT_24 CUADRO CFP2","CDRCBT","400000373",8
"ORANGE","CAT-GARCI","400000407B","CBT_25 CUADRO CFP3","CDRCBT","400000373",8
"ORANGE","CAT-GARCI","400000398B","CBT_26 CUADRO CFPC","CDRCBT","400000373",8
"ORANGE","CAT-GARCI","400000375B","CBT_27 CUADRO CFS1","CDRCBT","400000373",8
"ORANGE","CAT-GARCI","400000386B","CBT_28 CUADRO CFS2","CDRCBT","400000373",8
"ORANGE","CAT-GARCI","400000393B","CBT_30 CUADRO CFST","CDRCBT","400000373",8
"ORANGE","CAT-GARCI","400000429B","CSAI_BAT_02 C. SECCIN. BATERIAS SAI 2","CDRCBT","CAT-GARCI-ALI",6
"ORANGE","CAT-GARCI","600002831","SAI_01_SALA SAI (160 KVA)","SAISAI","CAT-GARCI-SAI",6
"ORANGE","CAL-FORJA","600003120","CONTENEDOR ACEITE","RESCAC","CAL-FORJA-RES",6
"ORANGE","CAL-FORJA","600003121","CONTENEDOR BATERIAS","RESCFL","CAL-FORJA-RES",6
"ORANGE","CAL-FORJA","600003122","CONTENEDOR FLUORESCENTES","RESCFL","CAL-FORJA-RES",6
"ORANGE","CAL-FORJA","600003126","CENTRALITA DE INUNDACIÓN_1","DYSDDI","CAL-FORJA-SYC",6
"ORANGE","CAL-FORJA","600003127","CENTRALITA DE INUNDACIÓN_2","DYSDDI","CAL-FORJA-SYC",6
"ORANGE","CAL-FORJA","600003128","AUTOMATA MANIOBRA FREECOOLING","CLTATC","CAL-FORJA-CLT",6
"ORANGE","MAD-ULISE","600003261","CCONM_03_CU_CLIMA","CDRCBT","MAD-ULISE-ALI",6
"ORANGE","MAD-ULISE","600003262","CONMUTACION AUTO_03_CLIMA","ATCCON","600003261",7
"ORANGE","MAD-ULISE","600003263","CCONM_04_P0_SAI_CGBT","CDRCBT","MAD-ULISE-ALI",6
"ORANGE","MAD-ULISE","600003264","CONMUTACION AUTO_04_SAI","ATCCON","600003263",7
"ORANGE","MAD-ULISE","600003265","CCONM_05_CU_RED/GRUPO","CDRCBT","MAD-ULISE-ALI",6
"ORANGE","MAD-ULISE","600003266","CONMUTACION AUTO_05_RED/GRUPO","ATCCON","600003265",7
"ORANGE","MAD-ULISE","600003267","CBT_02_P0_CGBT_DISTRIBUCION 2","CDRCBT","400009250",7
"ORANGE","MAD-ULISE","600003268","CGBT_02_P0_CGBT_GENERAL CLIMATIZACION","CDRCBT","MAD-ULISE-ALI",6
"ORANGE","MAD-ULISE","600003269","CCONM_01_P0_CGBT_CONMUT SAI","CDRCBT","MAD-ULISE-ALI",6
"ORANGE","MUR-NICAR","600003058","CL_04_SALA TX_UTA 4","CLTFNC","600003054",7
"ORANGE","MUR-NICAR","600003059","CL_05_SALA TX_UTA 5","CLTFNC","600003054",7
"ORANGE","MUR-NICAR","600003060","CL_06_P0_SALA SAI","CLTFNC","600003054",7
"ORANGE","MUR-NICAR","600003061","CL_07_P0_SALA SAI","CLTFNC","600003054",7
"ORANGE","CAL-FORJA","600003073","CARGADOR BATERIAS GE_1","GRPCAR","CAL-FORJA-GEL",6
"ORANGE","CAT-GARCI","400000428B","CSAI_BAT_01 C. SECCIN. BATERIAS SAI 1","CDRCBT","CAT-GARCI-ALI",6
"ORANGE","CAT-GARCI","400000009B","CLC_15 UN EXT CLIMATIZADOR CL1 VAC","CLPCPE","CAT-GARCI-CLC",6
"ORANGE","CAT-GARCI","400000381","CSAI_5_S-1_SALA RI_SAI ABB1-2","CDRCBT","400000373",8
"ORANGE","MAD-ULISE","600003270","CONM AUTO_01_SAI","ATCCON","600003269",7
"ORANGE","MAD-ULISE","600003271","CCONM_02_P0_CGBT_CONMUT RED/GRUPO","CDRCBT","MAD-ULISE-ALI",6
"ORANGE","MAD-ULISE","600003272","CONM AUTO_02_RED/GRUPO","ATCCON","600003271",7
"ORANGE","MAD-ULISE","600003275","CGSAI_02_P1_S. SAI 2_HOUSING SAI NW","CDRCBT","600003267",8
"ORANGE","CAL-FORJA","600003460","BAT SAI_01","SAIBAT","600003565",8
"ORANGE","CAL-FORJA","600003591","FC_CL_02_UTA_PB_PASILLO TECN","CLTCVS","600000843",8
"ORANGE","CAL-FORJA","600003592","FC_CL_03_UTA_PB_PASILLO TECN","CLTCVS","600000844",8
